┌─────────┬────┬────┬───────────┬────────┐
│ (index) │ p0 │ p1 │     p     │ passed │
│   39    │ 12 │ 23 │  '0.861'  │   13   │
│   40    │ 13 │ 11 │  '0.857'  │   13   │
│   41    │ 13 │ 9  │  '0.846'  │   13   │
│   42    │ 6  │ 15 │  '0.844'  │   13   │
│   43    │ 11 │ 18 │  '0.839'  │   13   │
│   44    │ 21 │ 15 │  '0.836'  │   13   │
│   45    │ 13 │ 4  │  '0.834'  │   13   │
│   46    │ 23 │ 17 │  '0.829'  │   13   │
│   47    │ 5  │ 30 │  '0.826'  │   13   │
│   48    │ 22 │ 11 │  '0.826'  │   13   │
│   49    │ 11 │ 28 │  '0.824'  │   13   │
│   50    │ 16 │ 20 │  '0.824'  │   13   │
│   51    │ 4  │ 31 │  '0.821'  │   13   │
│   52    │ 17 │ 11 │  '0.816'  │   13   │
│   53    │ 11 │ 20 │  '0.805'  │   13   │
│   54    │ 7  │ 18 │  '0.799'  │   13   │
│   55    │ 13 │ 8  │  '0.783'  │   13   │
│   56    │ 13 │ 6  │  '0.777'  │   13   │
│   57    │ 11 │ 2  │  '0.77'   │   13   │
│   58    │ 18 │ 27 │  '0.77'   │   13   │
│   59    │ 9  │ 16 │  '0.767'  │   13   │
│   60    │ 11 │ 4  │  '0.767'  │   13   │
│   61    │ 17 │ 24 │  '0.764'  │   13   │
│   62    │ 17 │ 23 │  '0.757'  │   13   │
│   63    │ 10 │ 3  │  '0.745'  │   12   │
│   64    │ 20 │ 11 │  '0.745'  │   12   │
│   65    │ 17 │ 14 │  '0.742'  │   12   │
│   66    │ 22 │ 13 │  '0.742'  │   12   │
│   67    │ 18 │ 10 │  '0.739'  │   12   │
│   68    │ 13 │ 7  │  '0.725'  │   12   │
│   69    │ 10 │ 16 │  '0.716'  │   12   │
│   70    │ 16 │ 25 │  '0.715'  │   12   │
│   71    │ 8  │ 14 │  '0.712'  │   12   │
│   72    │ 18 │ 14 │  '0.712'  │   12   │
│   73    │ 22 │ 15 │  '0.708'  │   11   │
│   74    │ 13 │ 28 │  '0.699'  │   11   │
│   75    │ 10 │ 1  │  '0.694'  │   12   │
│   76    │ 14 │ 3  │  '0.688'  │   12   │
│   77    │ 21 │ 17 │  '0.686'  │   12   │
│   78    │ 23 │ 19 │  '0.676'  │   12   │
│   79    │ 3  │ 14 │  '0.675'  │   11   │
│   80    │ 17 │ 28 │  '0.675'  │   11   │
│   81    │ 10 │ 14 │  '0.674'  │   12   │
│   82    │ 12 │ 3  │  '0.674'  │   11   │
│   83    │ 14 │ 1  │  '0.674'  │   12   │
│   84    │ 14 │ 23 │  '0.674'  │   12   │
│   85    │ 15 │ 9  │  '0.674'  │   12   │
│   86    │ 19 │ 14 │  '0.674'  │   12   │
│   87    │ 9  │ 30 │  '0.673'  │   12   │
│   88    │ 10 │ 8  │  '0.67'   │   12   │
│   89    │ 12 │ 25 │  '0.669'  │   12   │
│   90    │ 4  │ 11 │  '0.668'  │   11   │
│   91    │ 10 │ 5  │  '0.66'   │   12   │
│   92    │ 16 │ 11 │  '0.648'  │   12   │
│   93    │ 19 │ 13 │  '0.647'  │   12   │
│   94    │ 24 │ 29 │  '0.645'  │   12   │
│   95    │ 3  │ 12 │  '0.63'   │   12   │
│   96    │ 9  │ 23 │  '0.626'  │   12   │
│   97    │ 13 │ 30 │  '0.614'  │   12   │
│   98    │ 19 │ 28 │  '0.612'  │   12   │
│   99    │ 23 │ 30 │  '0.604'  │   12   │
│   100   │ 9  │ 12 │  '0.593'  │   12   │
│   101   │ 11 │ 30 │  '0.588'  │   12   │
│   102   │ 8  │ 22 │  '0.583'  │   12   │
│   103   │ 17 │ 20 │  '0.578'  │   11   │
│   104   │ 12 │ 10 │  '0.577'  │   12   │
│   105   │ 22 │ 9  │  '0.571'  │   12   │
│   106   │ 12 │ 14 │  '0.551'  │   11   │
│   107   │ 17 │ 13 │  '0.551'  │   12   │
│   108   │ 2  │ 11 │  '0.546'  │   12   │
│   109   │ 16 │ 29 │  '0.543'  │   12   │
│   110   │ 15 │ 21 │  '0.541'  │   11   │
│   111   │ 9  │ 20 │  '0.53'   │   12   │
│   112   │ 15 │ 19 │  '0.529'  │   11   │
│   113   │ 8  │ 12 │  '0.513'  │   10   │
│   114   │ 13 │ 22 │  '0.511'  │   10   │
│   115   │ 13 │ 20 │  '0.501'  │   12   │
│   116   │ 11 │ 6  │  '0.48'   │   12   │
│   117   │ 11 │ 26 │  '0.48'   │   11   │
│   118   │ 20 │ 10 │  '0.479'  │   11   │
│   119   │ 13 │ 24 │  '0.47'   │   11   │
│   120   │ 17 │ 21 │  '0.468'  │   12   │
│   121   │ 14 │ 25 │  '0.462'  │   12   │
│   122   │ 5  │ 14 │  '0.459'  │   12   │
│   123   │ 17 │ 30 │  '0.444'  │   11   │
│   124   │ 14 │ 11 │  '0.433'  │   11   │
│   125   │ 15 │ 11 │  '0.428'  │   12   │
│   126   │ 9  │ 21 │  '0.426'  │   12   │
│   127   │ 18 │ 12 │  '0.42'   │   12   │
│   128   │ 15 │ 28 │  '0.412'  │   12   │
│   129   │ 16 │ 22 │  '0.398'  │   12   │
│   130   │ 7  │ 20 │  '0.394'  │   11   │
│   131   │ 8  │ 17 │  '0.388'  │   12   │
│   132   │ 13 │ 19 │  '0.386'  │   10   │
│   133   │ 23 │ 13 │  '0.386'  │   11   │
│   134   │ 12 │ 7  │  '0.382'  │   12   │
│   135   │ 6  │ 19 │  '0.372'  │   11   │
│   136   │ 20 │ 5  │  '0.368'  │   12   │
│   137   │ 13 │ 23 │  '0.364'  │   12   │
│   138   │ 3  │ 30 │  '0.356'  │   12   │
│   139   │ 17 │ 12 │  '0.355'  │   10   │
│   140   │ 12 │ 16 │  '0.354'  │   11   │
│   141   │ 24 │ 27 │  '0.352'  │   12   │
│   142   │ 14 │ 10 │  '0.324'  │   12   │
│   143   │ 13 │ 17 │  '0.322'  │   11   │
│   144   │ 5  │ 16 │  '0.318'  │   12   │
│   145   │ 9  │ 4  │  '0.309'  │   11   │
│   146   │ 9  │ 22 │  '0.305'  │   11   │
│   147   │ 14 │ 18 │  '0.305'  │   12   │
│   148   │ 9  │ 2  │  '0.294'  │   11   │
│   149   │ 10 │ 23 │  '0.294'  │   12   │
│   150   │ 23 │ 11 │  '0.292'  │   11   │
│   151   │ 22 │ 20 │  '0.277'  │   12   │
│   152   │ 14 │ 5  │  '0.276'  │   9    │
│   153   │ 5  │ 18 │  '0.265'  │   11   │
│   154   │ 4  │ 15 │  '0.257'  │   11   │
│   155   │ 12 │ 18 │  '0.248'  │   11   │
│   156   │ 18 │ 24 │  '0.247'  │   11   │
│   157   │ 9  │ 18 │  '0.244'  │   10   │
│   158   │ 17 │ 25 │  '0.244'  │   12   │
│   159   │ 23 │ 14 │  '0.228'  │   12   │
│   160   │ 22 │ 31 │  '0.225'  │   12   │
│   161   │ 7  │ 25 │  '0.221'  │   11   │
│   162   │ 10 │ 7  │  '0.218'  │   10   │
│   163   │ 11 │ 17 │  '0.202'  │   11   │
│   164   │ 19 │ 11 │  '0.196'  │   11   │
│   165   │ 9  │ 17 │  '0.194'  │   10   │
│   166   │ 11 │ 24 │  '0.189'  │   10   │
│   167   │ 17 │ 26 │  '0.177'  │   11   │
│   168   │ 10 │ 20 │  '0.175'  │   12   │
│   169   │ 16 │ 10 │  '0.172'  │   11   │
│   170   │ 7  │ 16 │  '0.165'  │   11   │
│   171   │ 12 │ 21 │  '0.154'  │   12   │
│   172   │ 1  │ 10 │  '0.153'  │   12   │
│   173   │ 20 │ 29 │  '0.152'  │   11   │
│   174   │ 22 │ 3  │  '0.151'  │   11   │
│   175   │ 11 │ 23 │  '0.142'  │   12   │
│   176   │ 22 │ 17 │  '0.134'  │   12   │
│   177   │ 12 │ 9  │  '0.131'  │   12   │
│   178   │ 10 │ 24 │  '0.108'  │   10   │
│   179   │ 20 │ 24 │  '0.101'  │   11   │
│   180   │ 9  │ 15 │ '0.0976'  │   12   │
│   181   │ 11 │ 21 │  '0.087'  │   11   │
│   182   │ 18 │ 8  │  '0.087'  │   11   │
│   183   │ 16 │ 12 │ '0.0794'  │   10   │
│   184   │ 22 │ 16 │ '0.0782'  │   11   │
│   185   │ 8  │ 6  │  '0.07'   │   10   │
│   186   │ 14 │ 7  │ '0.0687'  │   11   │
│   187   │ 15 │ 26 │ '0.0663'  │   10   │
│   188   │ 24 │ 31 │ '0.0529'  │   10   │
│   189   │ 20 │ 14 │ '0.0502'  │   12   │
│   190   │ 13 │ 25 │ '0.0463'  │   10   │
│   191   │ 23 │ 9  │ '0.0463'  │   12   │
│   192   │ 20 │ 12 │ '0.0424'  │   12   │
│   193   │ 17 │ 9  │ '0.0398'  │   10   │
│   194   │ 20 │ 7  │ '0.0396'  │   10   │
│   195   │ 21 │ 11 │ '0.0328'  │   12   │
│   196   │ 17 │ 7  │ '0.0281'  │   12   │
│   197   │ 19 │ 23 │ '0.0262'  │   12   │
│   198   │ 14 │ 9  │ '0.0207'  │   12   │
│   199   │ 18 │ 31 │ '0.0123'  │   11   │
│   200   │ 20 │ 16 │ '0.00791' │   12   │
│   201   │ 14 │ 27 │ '0.00489' │   11   │
│   202   │ 12 │ 6  │ '0.00379' │   11   │
└─────────┴────┴────┴───────────┴────────┘
